date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Aug 02 2014,69.768,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 03 2014,68.718,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 04 2014,69.989,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 05 2014,68.323,55,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 06 2014,69.082,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 07 2014,68.499,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 08 2014,68.403,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 09 2014,67.971,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 10 2014,67.055,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 11 2014,65.282,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 12 2014,65.246,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 13 2014,63.369,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 14 2014,63.419,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 15 2014,66.314,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 16 2014,66.879,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 17 2014,64.424,86,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 18 2014,67.475,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 19 2014,69.395,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 20 2014,66.272,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 21 2014,67.078,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 22 2014,67.272,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 23 2014,69.013,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 24 2014,65.185,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 25 2014,66.143,82,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 26 2014,68.105,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 27 2014,67.893,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 28 2014,70.153,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 29 2014,72.916,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 30 2014,72.051,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 31 2014,72.084,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 01 2014,72.701,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 02 2014,72.047,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 03 2014,71.878,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 04 2014,71.037,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 05 2014,75.544,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 06 2014,72.587,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 07 2014,69.78,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 08 2014,75.068,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 09 2014,72.234,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 10 2014,69.701,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 11 2014,67.722,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 12 2014,68.266,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 13 2014,67.464,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 14 2014,64.008,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 15 2014,67.085,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 16 2014,69.998,55,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 17 2014,66.786,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 18 2014,72.297,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 19 2014,70.021,58,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 20 2014,67.791,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 21 2014,66.031,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 22 2014,65.484,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 23 2014,62.186,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 24 2014,62.031,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 25 2014,61.447,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 26 2014,61.033,83,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 27 2014,61.028,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 28 2014,59.883,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 29 2014,63.262,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Sep 30 2014,62.749,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 01 2014,59.859,79,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 02 2014,60.428,66,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 03 2014,64.601,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 04 2014,61.714,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 05 2014,60.704,83,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 06 2014,60.332,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 07 2014,60.202,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 08 2014,60.542,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 09 2014,60.506,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 10 2014,62.778,56,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 11 2014,60.097,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 12 2014,59.24,88,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 13 2014,59.006,85,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 14 2014,57.527,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 15 2014,55.668,81,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 16 2014,55.963,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 17 2014,56.536,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 18 2014,54.949,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 19 2014,52.57,78,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 20 2014,53.782,87,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 21 2014,53.938,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 22 2014,52.547,81,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 23 2014,53.489,80,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 24 2014,52.495,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 25 2014,55.138,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 26 2014,52.594,95,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 27 2014,53.362,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 28 2014,54.526,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 29 2014,53.138,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 30 2014,56.445,58,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Oct 31 2014,52.809,106,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 01 2014,53.741,90,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 02 2014,52.411,102,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 03 2014,49.815,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 04 2014,50.603,75,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 05 2014,51.246,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 06 2014,51.045,67,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 07 2014,50.558,80,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 08 2014,48.941,94,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 09 2014,49.401,84,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 10 2014,48.801,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 11 2014,48.231,82,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 12 2014,45.542,111,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 13 2014,44.748,94,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 14 2014,44.688,101,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 15 2014,43.448,115,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 16 2014,44.479,94,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 17 2014,42.353,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 18 2014,43.383,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 19 2014,41.387,84,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 20 2014,43.564,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 21 2014,45.822,87,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 22 2014,42.902,91,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 23 2014,41.915,93,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 24 2014,41.676,105,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 25 2014,43.087,85,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 26 2014,45.485,92,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 27 2014,47.582,96,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 28 2014,49.337,119,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 29 2014,66.389,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Nov 30 2014,44.497,160,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 01 2014,46.37,105,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 02 2014,47.811,99,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 03 2014,48.923,91,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 04 2014,51.529,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 05 2014,52.105,100,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 06 2014,51.048,99,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 07 2014,48.798,117,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 08 2014,47.567,110,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 09 2014,49.403,95,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 10 2014,51.124,109,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 11 2014,50.605,108,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 12 2014,50.179,99,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 13 2014,48.186,106,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 14 2014,49.114,103,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 15 2014,51.08,101,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 16 2014,51.023,105,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 17 2014,50.94,112,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 18 2014,50.171,115,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 19 2014,51.466,110,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 20 2014,52.164,118,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 21 2014,52.097,120,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 22 2014,48.461,122,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 23 2014,49.975,119,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 24 2014,52.186,133,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 25 2014,58.004,138,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 26 2014,57.441,144,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 27 2014,55.6,133,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 28 2014,54.346,114,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 29 2014,54.735,130,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 30 2014,56.011,130,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Dec 31 2014,55.711,106,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jan 01 2015,53.102,99,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jan 02 2015,53.158,161,AK-47 | Redline,AK-47,Redline,Field-Tested,1
