date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Aug 06 2025,2025-08-06,4.188,0.11149869335845945,0.12483989834830607,1.3970940394564078,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.192,0.123585495559138,0.13879241385821886,1.3970127589667098,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.33,0.1263866354056053,0.1374525694240896,1.3969563887724024,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.537,0.12693760346078628,0.13510929323764465,1.3969433983596022,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.2,0.1362529974360152,0.1445001012032975,1.3968634187262774,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.5,0.1364123439654962,0.14082376507224842,1.396842044938401,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,3.45,0.2300876494658834,0.2813737600668765,1.3966822374533558,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,3.609,0.2615250938487489,0.33225024982519985,1.396531441685905,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.305,0.2616587867617068,0.32138380658316923,1.3964702558741506,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 07 2025,2025-08-07,4.287,0.26151026660569754,0.31096282059099045,1.3964056994549983,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
