date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 23 2014,2014-07-23,60.905,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 24 2014,2014-07-24,64.897,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 25 2014,2014-07-25,62.709,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 26 2014,2014-07-26,64.629,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 27 2014,2014-07-27,63.377,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 28 2014,2014-07-28,64.62,59,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 29 2014,2014-07-29,64.629,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 30 2014,2014-07-30,65.126,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 31 2014,2014-07-31,65.998,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 01 2014,2014-08-01,72.011,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 02 2014,2014-08-02,69.768,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 03 2014,2014-08-03,68.718,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 04 2014,2014-08-04,69.989,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 05 2014,2014-08-05,68.323,55,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 06 2014,2014-08-06,69.082,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 07 2014,2014-08-07,68.499,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 08 2014,2014-08-08,68.403,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 09 2014,2014-08-09,67.971,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 10 2014,2014-08-10,67.055,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 11 2014,2014-08-11,65.282,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 12 2014,2014-08-12,65.246,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 13 2014,2014-08-13,63.369,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 14 2014,2014-08-14,63.419,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 15 2014,2014-08-15,66.314,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 16 2014,2014-08-16,66.879,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 17 2014,2014-08-17,64.424,86,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 18 2014,2014-08-18,67.475,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 19 2014,2014-08-19,69.395,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 20 2014,2014-08-20,66.272,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 21 2014,2014-08-21,67.078,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 22 2014,2014-08-22,67.272,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 23 2014,2014-08-23,69.013,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 24 2014,2014-08-24,65.185,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 25 2014,2014-08-25,66.143,82,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 26 2014,2014-08-26,68.105,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 27 2014,2014-08-27,67.893,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 28 2014,2014-08-28,70.153,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 29 2014,2014-08-29,72.916,74,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 30 2014,2014-08-30,72.051,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Aug 31 2014,2014-08-31,72.084,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 01 2014,2014-09-01,72.701,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 02 2014,2014-09-02,72.047,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 03 2014,2014-09-03,71.878,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 04 2014,2014-09-04,71.037,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 05 2014,2014-09-05,75.544,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 06 2014,2014-09-06,72.587,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 07 2014,2014-09-07,69.78,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 08 2014,2014-09-08,75.068,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 09 2014,2014-09-09,72.234,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 10 2014,2014-09-10,69.701,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 11 2014,2014-09-11,67.722,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 12 2014,2014-09-12,68.266,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 13 2014,2014-09-13,67.464,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 14 2014,2014-09-14,64.008,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 15 2014,2014-09-15,67.085,70,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 16 2014,2014-09-16,69.998,55,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 17 2014,2014-09-17,66.786,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 18 2014,2014-09-18,72.297,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 19 2014,2014-09-19,70.021,58,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 20 2014,2014-09-20,67.791,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 21 2014,2014-09-21,66.031,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 22 2014,2014-09-22,65.484,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 23 2014,2014-09-23,62.186,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 24 2014,2014-09-24,62.031,54,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 25 2014,2014-09-25,61.447,62,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 26 2014,2014-09-26,61.033,83,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 27 2014,2014-09-27,61.028,69,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 28 2014,2014-09-28,59.883,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 29 2014,2014-09-29,63.262,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Sep 30 2014,2014-09-30,62.749,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 01 2014,2014-10-01,59.859,79,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 02 2014,2014-10-02,60.428,66,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 03 2014,2014-10-03,64.601,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 04 2014,2014-10-04,61.714,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 05 2014,2014-10-05,60.704,83,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 06 2014,2014-10-06,60.332,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 07 2014,2014-10-07,60.202,64,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 08 2014,2014-10-08,60.542,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 09 2014,2014-10-09,60.506,68,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 10 2014,2014-10-10,62.778,56,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 11 2014,2014-10-11,60.097,77,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 12 2014,2014-10-12,59.24,88,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 13 2014,2014-10-13,59.006,85,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 14 2014,2014-10-14,57.527,60,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 15 2014,2014-10-15,55.668,81,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 16 2014,2014-10-16,55.963,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 17 2014,2014-10-17,56.536,71,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 18 2014,2014-10-18,54.949,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 19 2014,2014-10-19,52.57,78,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 20 2014,2014-10-20,53.782,87,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 21 2014,2014-10-21,53.938,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 22 2014,2014-10-22,52.547,81,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 23 2014,2014-10-23,53.489,80,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 24 2014,2014-10-24,52.495,89,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 25 2014,2014-10-25,55.138,76,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 26 2014,2014-10-26,52.594,95,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 27 2014,2014-10-27,53.362,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 28 2014,2014-10-28,54.526,73,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 29 2014,2014-10-29,53.138,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 30 2014,2014-10-30,56.445,58,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Oct 31 2014,2014-10-31,52.809,106,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Nov 01 2014,2014-11-01,53.741,90,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Nov 02 2014,2014-11-02,52.411,102,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Nov 03 2014,2014-11-03,49.815,72,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Nov 04 2014,2014-11-04,50.603,75,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
