date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 16 2015,2015-05-16,19.459,899,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 17 2015,2015-05-17,18.756,854,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 18 2015,2015-05-18,18.838,803,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 19 2015,2015-05-19,18.479,664,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 20 2015,2015-05-20,18.173,692,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 21 2015,2015-05-21,18.293,758,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 22 2015,2015-05-22,18.411,902,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 23 2015,2015-05-23,18.339,951,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 24 2015,2015-05-24,17.695,905,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 25 2015,2015-05-25,17.552,851,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 26 2015,2015-05-26,17.792,865,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 27 2015,2015-05-27,14.118,2232,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 28 2015,2015-05-28,15.275,1277,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 29 2015,2015-05-29,15.976,1222,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 30 2015,2015-05-30,16.509,1242,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 31 2015,2015-05-31,16.518,1077,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 01 2015,2015-06-01,16.746,1051,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 02 2015,2015-06-02,16.712,929,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 03 2015,2015-06-03,16.373,1048,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 04 2015,2015-06-04,16.026,982,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 05 2015,2015-06-05,15.024,1099,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 06 2015,2015-06-06,15.459,1057,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 07 2015,2015-06-07,15.062,1025,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 08 2015,2015-06-08,15.155,1104,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 09 2015,2015-06-09,15.734,1045,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 10 2015,2015-06-10,15.4,1071,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
