date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 07 2015,2015-12-07,33.605,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 08 2015,2015-12-08,34.35,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 09 2015,2015-12-09,29.887,110,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 10 2015,2015-12-10,27.949,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 11 2015,2015-12-11,28.104,98,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 12 2015,2015-12-12,28.397,121,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 13 2015,2015-12-13,29.482,99,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 14 2015,2015-12-14,30.846,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 15 2015,2015-12-15,31.415,63,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 16 2015,2015-12-16,31.095,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 17 2015,2015-12-17,31.901,48,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 18 2015,2015-12-18,31.007,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 19 2015,2015-12-19,30.838,73,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 20 2015,2015-12-20,30.616,70,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 21 2015,2015-12-21,30.326,73,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 22 2015,2015-12-22,30.101,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 23 2015,2015-12-23,27.331,99,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 24 2015,2015-12-24,27.656,114,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 25 2015,2015-12-25,31.742,115,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 26 2015,2015-12-26,32.224,115,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 27 2015,2015-12-27,30.992,96,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 28 2015,2015-12-28,32.306,101,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 29 2015,2015-12-29,32.412,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 30 2015,2015-12-30,31.336,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 31 2015,2015-12-31,31.358,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 01 2016,2016-01-01,29.172,98,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 02 2016,2016-01-02,29.12,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 03 2016,2016-01-03,28.256,105,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 04 2016,2016-01-04,28.352,103,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 05 2016,2016-01-05,29.71,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 06 2016,2016-01-06,31.538,70,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 07 2016,2016-01-07,31.008,69,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 08 2016,2016-01-08,29.522,82,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 09 2016,2016-01-09,29.668,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 10 2016,2016-01-10,28.767,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 11 2016,2016-01-11,29.248,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
