date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 06 2016,2016-05-06,11.648,0.4425449662197217,0.7410983334742276,2.3833721972643502,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 07 2016,2016-05-07,11.71,0.45302298031074945,0.7578081521776616,2.3837594871575263,22.80386851004038,1.8735641796612608,25.006982235380818,26,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 08 2016,2016-05-08,10.653,0.42504615030021886,0.7337457238917675,2.3827980514330918,22.80386851004038,1.8735641796612608,25.006982235380818,21,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 09 2016,2016-05-09,11.125,0.4192622200906981,0.7148838586787036,2.382351702426378,22.80386851004038,1.8735641796612608,25.006982235380818,21,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 10 2016,2016-05-10,11.627,0.4082531063575063,0.7214631375682489,2.3825956391732603,22.80386851004038,1.8735641796612608,25.006982235380818,22,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 11 2016,2016-05-11,11.018,0.3931964222074764,0.6989768205790675,2.3820150725032265,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 12 2016,2016-05-12,11.043,0.38895613912226384,0.6774927038762346,2.3814619605472047,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 13 2016,2016-05-13,11.625,0.40802164834383486,0.6813565094305514,2.381689180449983,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 14 2016,2016-05-14,11.186,0.4097056540841052,0.6622064159264539,2.3813034046118027,22.80386851004038,1.8735641796612608,25.006982235380818,28,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 15 2016,2016-05-15,11.356,0.41580671349616843,0.6487597053071152,2.3811357269002555,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 16 2016,2016-05-16,10.345,0.4314473383242792,0.6465883451934906,2.379907980756603,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 17 2016,2016-05-17,10.285,0.44589025504064145,0.6457606440906468,2.3786383282547967,22.80386851004038,1.8735641796612608,25.006982235380818,22,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 18 2016,2016-05-18,9.208,0.5468378523672137,0.752480197116564,2.376956568994692,22.80386851004038,1.8735641796612608,25.006982235380818,23,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 19 2016,2016-05-19,9.464,0.6028478811574846,0.7985563495244125,2.3753141679901915,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 20 2016,2016-05-20,8.716,0.7178369968335179,0.917012587911287,2.3736802141867477,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 21 2016,2016-05-21,9.56,0.7517836147777168,0.9219194379588047,2.372068257942449,22.80386851004038,1.8735641796612608,25.006982235380818,39,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 22 2016,2016-05-22,9.878,0.7672582392826425,0.9052033033090816,2.370576088372794,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 23 2016,2016-05-23,9.364,0.8053273775660706,0.91746109964634,2.3689286925439426,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 24 2016,2016-05-24,9.153,0.8516571837427671,0.939720890818078,2.3672652773246443,22.80386851004038,1.8735641796612608,25.006982235380818,19,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 25 2016,2016-05-25,9.71,0.8620185186159007,0.9212186179323365,2.3657136909446024,22.80386851004038,1.8735641796612608,25.006982235380818,23,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 26 2016,2016-05-26,9.934,0.8571786895082586,0.895002412094699,2.3642602961323513,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
