date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 11 2024,2024-02-11,1.503,0.08364333145293551,0.07805703466714949,0.5286789712144357,0.5608892353255713,0.3050215005786033,0.3280028466850915,327,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 12 2024,2024-02-12,1.454,0.08333210803693224,0.07565206458321425,0.528596817300588,0.5608892353255713,0.3050215005786033,0.3280028466850915,243,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 13 2024,2024-02-13,1.479,0.0823396386435348,0.07395999871949288,0.5285157044489112,0.5608892353255713,0.3050215005786033,0.3280028466850915,295,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 14 2024,2024-02-14,1.481,0.08178022833864118,0.07231243567418892,0.5284347251157739,0.5608892353255713,0.3050215005786033,0.3280028466850915,283,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 15 2024,2024-02-15,1.454,0.08119060163034439,0.07001178717758208,0.528352685089654,0.5608892353255713,0.3050215005786033,0.3280028466850915,328,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 16 2024,2024-02-16,1.523,0.08042590650266511,0.07066089552208571,0.5282743481616489,0.5608892353255713,0.3050215005786033,0.3280028466850915,371,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 17 2024,2024-02-17,1.561,0.07987392364316863,0.07400191695299167,0.528199269982656,0.5608892353255713,0.3050215005786033,0.3280028466850915,503,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 18 2024,2024-02-18,1.632,0.08625749342757225,0.08417004020592123,0.5281325408412142,0.5608892353255713,0.3050215005786033,0.3280028466850915,316,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 19 2024,2024-02-19,1.498,0.08592728816021475,0.08179688554745489,0.5280526508829113,0.5608892353255713,0.3050215005786033,0.3280028466850915,284,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 20 2024,2024-02-20,1.554,0.0845964049125717,0.08196532695645713,0.5279770091071919,0.5608892353255713,0.3050215005786033,0.3280028466850915,334,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 21 2024,2024-02-21,1.559,0.08551714891537578,0.08208792253288327,0.527901865782698,0.5608892353255713,0.3050215005786033,0.3280028466850915,465,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 22 2024,2024-02-22,1.605,0.090627975179033,0.08538562154020318,0.5278317380392317,0.5608892353255713,0.3050215005786033,0.3280028466850915,414,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 23 2024,2024-02-23,1.586,0.09413356248544358,0.08618342511463625,0.5277594274485111,0.5608892353255713,0.3050215005786033,0.3280028466850915,412,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 24 2024,2024-02-24,1.646,0.10028983285810573,0.09162851979481036,0.5276948494229798,0.5608892353255713,0.3050215005786033,0.3280028466850915,439,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 25 2024,2024-02-25,1.654,0.10521811499990016,0.09626561976623194,0.5276314804752313,0.5608892353255713,0.3050215005786033,0.3280028466850915,380,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 26 2024,2024-02-26,1.659,0.10882283397980748,0.0999756584205426,0.5275688928437127,0.5608892353255713,0.3050215005786033,0.3280028466850915,373,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 27 2024,2024-02-27,1.561,0.10529214966750261,0.09716996776421336,0.5274941113439419,0.5608892353255713,0.3050215005786033,0.3280028466850915,291,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 28 2024,2024-02-28,1.58,0.10026416258487027,0.09497742808146335,0.5274212834129254,0.5608892353255713,0.3050215005786033,0.3280028466850915,312,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 29 2024,2024-02-29,1.68,0.09781718815650708,0.09933917901893384,0.5273621214151099,0.5608892353255713,0.3050215005786033,0.3280028466850915,384,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 01 2024,2024-03-01,1.724,0.09471785688975592,0.10668295832199091,0.5273108479660764,0.5608892353255713,0.3050215005786033,0.3280028466850915,332,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 02 2024,2024-03-02,1.716,0.09580979720975659,0.11117010046602509,0.5272580662642141,0.5608892353255713,0.3050215005786033,0.3280028466850915,386,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 03 2024,2024-03-03,1.779,0.10321946265729116,0.1205233496036185,0.5272182506303698,0.5608892353255713,0.3050215005786033,0.3280028466850915,330,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 04 2024,2024-03-04,1.729,0.10569131479447226,0.12274521393017783,0.5271679607283085,0.5608892353255713,0.3050215005786033,0.3280028466850915,267,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 05 2024,2024-03-05,1.741,0.10604850874431221,0.12494859144219313,0.5271200539988099,0.5608892353255713,0.3050215005786033,0.3280028466850915,236,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 06 2024,2024-03-06,1.76,0.10820954554531004,0.12767837061412027,0.5270760864209879,0.5608892353255713,0.3050215005786033,0.3280028466850915,264,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 07 2024,2024-03-07,1.697,0.10846163578324743,0.12557699136248432,0.5270198978714958,0.5608892353255713,0.3050215005786033,0.3280028466850915,292,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 08 2024,2024-03-08,1.697,0.10772647354965544,0.12331607626434068,0.5269637221698603,0.5608892353255713,0.3050215005786033,0.3280028466850915,311,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 09 2024,2024-03-09,1.77,0.1076190866718747,0.12523605843909655,0.5269219220184642,0.5608892353255713,0.3050215005786033,0.3280028466850915,308,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 10 2024,2024-03-10,1.764,0.10559510612134598,0.12587108921857526,0.526878820887892,0.5608892353255713,0.3050215005786033,0.3280028466850915,296,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 11 2024,2024-03-11,1.709,0.10356776336868649,0.12310687653548909,0.5268248125139368,0.5608892353255713,0.3050215005786033,0.3280028466850915,295,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 12 2024,2024-03-12,1.634,0.10096832324470624,0.11908084900967732,0.5267588299515135,0.5608892353255713,0.3050215005786033,0.3280028466850915,294,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 13 2024,2024-03-13,1.68,0.09571434992521359,0.11560490047824716,0.5266998236037411,0.5608892353255713,0.3050215005786033,0.3280028466850915,368,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
