date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Mar 13 2015,2015-03-13,7.053,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 14 2015,2015-03-14,6.344,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 15 2015,2015-03-15,6.374,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 16 2015,2015-03-16,5.714,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 17 2015,2015-03-17,5.88,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 18 2015,2015-03-18,5.75,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 19 2015,2015-03-19,6.276,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 20 2015,2015-03-20,6.397,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 21 2015,2015-03-21,6.459,25,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 22 2015,2015-03-22,6.472,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 23 2015,2015-03-23,6.706,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 24 2015,2015-03-24,6.7,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 25 2015,2015-03-25,6.406,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 26 2015,2015-03-26,6.214,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 27 2015,2015-03-27,6.123,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 28 2015,2015-03-28,6.441,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 29 2015,2015-03-29,5.888,25,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 30 2015,2015-03-30,5.932,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 31 2015,2015-03-31,5.901,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 01 2015,2015-04-01,5.813,31,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
