date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 23 2015,2015-04-23,5.942,184,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 24 2015,2015-04-24,5.872,216,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 25 2015,2015-04-25,5.706,291,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 26 2015,2015-04-26,5.659,275,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 27 2015,2015-04-27,5.885,223,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 28 2015,2015-04-28,6.006,194,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 29 2015,2015-04-29,6.026,183,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 30 2015,2015-04-30,6.004,211,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 01 2015,2015-05-01,5.852,237,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 02 2015,2015-05-02,6.336,244,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 03 2015,2015-05-03,6.125,236,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 04 2015,2015-05-04,5.94,252,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 05 2015,2015-05-05,6.333,170,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 06 2015,2015-05-06,6.198,198,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 07 2015,2015-05-07,6.018,179,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 08 2015,2015-05-08,5.996,220,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 09 2015,2015-05-09,5.962,252,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 10 2015,2015-05-10,5.806,238,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 11 2015,2015-05-11,5.834,196,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 12 2015,2015-05-12,6.207,172,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 13 2015,2015-05-13,6.298,182,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 14 2015,2015-05-14,6.132,182,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 15 2015,2015-05-15,6.049,193,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 16 2015,2015-05-16,6.29,239,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 17 2015,2015-05-17,5.839,215,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 18 2015,2015-05-18,5.767,186,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 19 2015,2015-05-19,5.719,206,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 20 2015,2015-05-20,5.639,209,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 21 2015,2015-05-21,5.982,189,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 22 2015,2015-05-22,5.732,220,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 23 2015,2015-05-23,5.608,238,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 24 2015,2015-05-24,5.749,206,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 25 2015,2015-05-25,5.575,210,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 26 2015,2015-05-26,5.732,196,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 27 2015,2015-05-27,3.942,439,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 28 2015,2015-05-28,4.321,282,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 29 2015,2015-05-29,4.747,266,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 30 2015,2015-05-30,5.239,270,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
May 31 2015,2015-05-31,5.374,232,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 01 2015,2015-06-01,5.25,224,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 02 2015,2015-06-02,5.343,213,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 03 2015,2015-06-03,5.125,213,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 04 2015,2015-06-04,4.891,253,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 05 2015,2015-06-05,4.58,255,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 06 2015,2015-06-06,4.736,205,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 07 2015,2015-06-07,4.591,262,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 08 2015,2015-06-08,4.748,214,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 09 2015,2015-06-09,4.759,197,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 10 2015,2015-06-10,4.874,217,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 11 2015,2015-06-11,4.541,212,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 12 2015,2015-06-12,4.496,218,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 13 2015,2015-06-13,4.295,285,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 14 2015,2015-06-14,4.015,243,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 15 2015,2015-06-15,3.945,217,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 16 2015,2015-06-16,3.887,238,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 17 2015,2015-06-17,4.11,192,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 18 2015,2015-06-18,4.167,222,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 19 2015,2015-06-19,4.14,218,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 20 2015,2015-06-20,3.979,249,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 21 2015,2015-06-21,3.839,246,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 22 2015,2015-06-22,3.766,268,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 23 2015,2015-06-23,4.055,203,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 24 2015,2015-06-24,4.278,226,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 25 2015,2015-06-25,4.341,186,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 26 2015,2015-06-26,4.603,197,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 27 2015,2015-06-27,4.562,187,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 28 2015,2015-06-28,4.627,194,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 29 2015,2015-06-29,4.532,214,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jun 30 2015,2015-06-30,4.738,183,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 01 2015,2015-07-01,4.697,180,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 02 2015,2015-07-02,4.692,176,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 03 2015,2015-07-03,4.514,180,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 04 2015,2015-07-04,4.603,175,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 05 2015,2015-07-05,4.436,179,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 06 2015,2015-07-06,4.695,186,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 07 2015,2015-07-07,4.575,183,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 08 2015,2015-07-08,4.458,179,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 09 2015,2015-07-09,4.637,178,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 10 2015,2015-07-10,4.675,172,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 11 2015,2015-07-11,4.615,168,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jul 12 2015,2015-07-12,4.482,182,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
