date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 20 2015,2015-06-20,2.419,667,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 21 2015,2015-06-21,2.248,697,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 22 2015,2015-06-22,2.296,702,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 23 2015,2015-06-23,2.596,534,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 24 2015,2015-06-24,2.774,524,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 25 2015,2015-06-25,2.826,547,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 26 2015,2015-06-26,2.878,552,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 27 2015,2015-06-27,2.902,547,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 28 2015,2015-06-28,2.869,617,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 29 2015,2015-06-29,2.918,603,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 30 2015,2015-06-30,2.979,538,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jul 01 2015,2015-07-01,2.969,579,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jul 02 2015,2015-07-02,3.04,539,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jul 03 2015,2015-07-03,3.101,486,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jul 04 2015,2015-07-04,3.047,520,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
