date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 07 2023,2023-11-07,7.083,0.38449371996146914,0.50742771107706,2.418582803494271,7.6502338826898635,1.7633508365443018,8.587032950152782,17,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 08 2023,2023-11-08,7.136,0.38967853535920316,0.49292822930310926,2.41827802810825,7.6502338826898635,1.7633508365443018,8.587032950152782,18,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 09 2023,2023-11-09,6.939,0.40257433667818143,0.4855892368940234,2.417950883985218,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 10 2023,2023-11-10,6.909,0.4154490286454556,0.4789227286419373,2.4176208769798886,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 11 2023,2023-11-11,7.345,0.4124673445801272,0.46370427217691734,2.417345616847323,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 12 2023,2023-11-12,7.741,0.41513630084108016,0.4639767068922715,2.4171407393071265,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 13 2023,2023-11-13,6.892,0.42727473866237914,0.45997637580718725,2.416809419980186,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 14 2023,2023-11-14,7.189,0.42945936208017954,0.44535092368394263,2.4165121441064197,7.6502338826898635,1.7633508365443018,8.587032950152782,10,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 15 2023,2023-11-15,6.852,0.43885632582064676,0.4429200095112334,2.4161773615886863,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 16 2023,2023-11-16,6.538,0.46146241300981794,0.46273675475713744,2.4158205404695194,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 17 2023,2023-11-17,6.565,0.4792891959281865,0.47426832383158285,2.4154652962543293,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 18 2023,2023-11-18,6.491,0.49637844873440107,0.4875800229132005,2.4151065396890203,7.6502338826898635,1.7633508365443018,8.587032950152782,28,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 19 2023,2023-11-19,6.636,0.45151005895050417,0.4862205282834727,2.4147557755264697,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 20 2023,2023-11-20,6.607,0.4412199454127608,0.48484994749546195,2.414403386640772,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 21 2023,2023-11-21,6.579,0.43026004032329707,0.48341438376453605,2.4140495368765014,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 22 2023,2023-11-22,6.092,0.4396545940498294,0.5217269668821986,2.41368352267932,7.6502338826898635,1.7633508365443018,8.587032950152782,21,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 23 2023,2023-11-23,6.042,0.46714471901746035,0.5541659196134626,2.413318096398447,7.6502338826898635,1.7633508365443018,8.587032950152782,20,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 24 2023,2023-11-24,6.323,0.46846999683137597,0.555012547047303,2.4129545445676994,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 25 2023,2023-11-25,5.8,0.5114623715107685,0.5988536320005492,2.4125959274630207,7.6502338826898635,1.7633508365443018,8.587032950152782,23,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 26 2023,2023-11-26,5.708,0.5512732430527553,0.6396057610310865,2.412241859685397,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 27 2023,2023-11-27,5.976,0.5636062506282925,0.6462278722510229,2.411878127294035,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 28 2023,2023-11-28,5.809,0.586808415151069,0.6614719365934492,2.4115196183232492,7.6502338826898635,1.7633508365443018,8.587032950152782,26,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 29 2023,2023-11-29,6.159,0.5836929016601378,0.650047537318567,2.4111546912485897,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 30 2023,2023-11-30,5.975,0.5983848423384279,0.6472286184712541,2.410791471354473,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 01 2023,2023-12-01,6.023,0.6107758435257883,0.6397128377442408,2.410427604289204,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 02 2023,2023-12-02,6.397,0.5450725154753192,0.6194493242235635,2.4100674816291563,7.6502338826898635,1.7633508365443018,8.587032950152782,19,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 03 2023,2023-12-03,6.267,0.5347852775681129,0.6021652687416462,2.409704288472819,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 04 2023,2023-12-04,5.969,0.5294677830930684,0.5969484620586549,2.40934185031328,7.6502338826898635,1.7633508365443018,8.587032950152782,7,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 05 2023,2023-12-05,6.081,0.5130679460281401,0.5850504800762639,2.408978048412181,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 06 2023,2023-12-06,6.254,0.5125672156652898,0.5676623172267197,2.408615143257484,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 07 2023,2023-12-07,7.763,0.5535820251966684,0.6430767016148052,2.4084178337311037,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 08 2023,2023-12-08,6.107,0.5447462933679184,0.6300656863671718,2.408054373004228,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 09 2023,2023-12-09,6.333,0.5378554221838512,0.6105620514305959,2.4076935043754486,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 10 2023,2023-12-10,6.129,0.5336080571176233,0.596790977708221,2.4073303274030056,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 11 2023,2023-12-11,6.085,0.5073459406050578,0.5844414449998334,2.406967465313596,7.6502338826898635,1.7633508365443018,8.587032950152782,10,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
