date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Mar 13 2014,2014-03-13,21.77,2.267971806723335,4.64833520939291,9.97997932557714,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 14 2014,2014-03-14,24.478,2.208142244345758,4.512217194224301,9.925565187372957,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 15 2014,2014-03-15,23.115,2.18728054951778,4.364262925212486,9.88049771295846,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 16 2014,2014-03-16,23.328,2.1496665178420082,4.221710678168202,9.834438434318603,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 17 2014,2014-03-17,21.118,2.1600039285298345,4.11211490119311,9.806521717318871,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 18 2014,2014-03-18,23.823,2.1432900544422853,3.9833777881013845,9.758181599225164,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 19 2014,2014-03-19,25.384,2.133341258246763,3.8986675348303583,9.703189969233946,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 20 2014,2014-03-20,27.474,2.2736686492179836,3.922536269931006,9.644256149859462,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 21 2014,2014-03-21,19.836,2.264039078091716,3.8986700113374755,9.630131436467972,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 22 2014,2014-03-22,20.781,2.281322615219644,3.8188326984683565,9.606194843244976,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 23 2014,2014-03-23,24.85,2.329032534578765,3.721133787585013,9.555910726909103,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 24 2014,2014-03-24,19.424,2.349921154216548,3.7180644730803243,9.545124394710895,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 25 2014,2014-03-25,22.469,1.896958193057202,3.597867774423766,9.5081002159095,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 26 2014,2014-03-26,18.75,1.9369541455772548,3.63024619324076,9.503447961022083,18.597966089647294,5.31875064408754,24.218389348126163,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 27 2014,2014-03-27,18.242,2.0900721268420974,3.6777432026121084,9.503332859066447,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 28 2014,2014-03-28,22.07,2.091118850550199,3.557760457578285,9.468684501516302,18.597966089647294,5.31875064408754,24.218389348126163,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 29 2014,2014-03-29,22.771,2.085690465347466,3.442913093274419,9.430079357378425,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 30 2014,2014-03-30,18.488,2.2038621387093915,3.4670291067070296,9.425832111324889,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 31 2014,2014-03-31,21.937,2.194037146187486,3.3535748854445178,9.392374049732775,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 01 2014,2014-04-01,23.136,2.1715686922262956,3.254092139237282,9.35257334433973,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 02 2014,2014-04-02,20.861,2.10772732210971,3.1640127324258818,9.326881755473902,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 03 2014,2014-04-03,19.066,2.172601096149144,3.15121450034811,9.315755366388258,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 04 2014,2014-04-04,17.73,2.286551406230197,3.2194596844380374,9.316995326129081,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 05 2014,2014-04-05,20.156,2.2857015331951227,3.135069949771138,9.2957018797855,18.597966089647294,5.31875064408754,24.218389348126163,12,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 06 2014,2014-04-06,23.037,2.2949860901589245,3.0558979243058104,9.257322567087686,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 07 2014,2014-04-07,21.888,2.29462854630487,2.9564552400087973,9.22499037905532,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 08 2014,2014-04-08,19.145,2.3441121744077984,2.926348081326844,9.211732236766492,18.597966089647294,5.31875064408754,24.218389348126163,14,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 09 2014,2014-04-09,20.71,2.348687444647252,2.8367968508314383,9.18659955622505,18.597966089647294,5.31875064408754,24.218389348126163,11,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 10 2014,2014-04-10,18.778,2.3803870582588873,2.82230667219821,9.17583966125594,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 11 2014,2014-04-11,18.69,2.415940264590358,2.803889743556419,9.165366811371827,18.597966089647294,5.31875064408754,24.218389348126163,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 12 2014,2014-04-12,19.629,2.4374892782552213,2.736330085049305,9.14718538321273,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 13 2014,2014-04-13,18.404,2.4228288586197926,2.724562129601453,9.138342581566459,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 14 2014,2014-04-14,18.56,2.4393846607266507,2.695393956332884,9.127753807866211,18.597966089647294,5.31875064408754,24.218389348126163,10,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 15 2014,2014-04-15,12.953,2.808140715110631,3.244192694429827,9.176895424063241,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 16 2014,2014-04-16,16.647,2.9007689525523976,3.259752964807751,9.181190898185484,18.597966089647294,5.31875064408754,24.218389348126163,9,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 17 2014,2014-04-17,18.766,2.8488571525897983,3.166789420156831,9.166831124710422,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 18 2014,2014-04-18,20.727,2.6876644018146307,3.0702809107370324,9.139925806851261,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 19 2014,2014-04-19,20.709,2.3140789533416624,2.9759257628133122,9.113263527899903,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 20 2014,2014-04-20,19.128,2.3191360747772705,2.8862318183575804,9.096137504734946,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 21 2014,2014-04-21,19.405,2.3157400455622565,2.7946226412114097,9.077088918212597,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 22 2014,2014-04-22,21.513,2.143740052488565,2.7330951876055183,9.046941930103042,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 23 2014,2014-04-23,19.713,2.1426739272742097,2.6444197154321527,9.026100794972757,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 24 2014,2014-04-24,17.196,2.1326553965021837,2.650577301151008,9.022794364565037,18.597966089647294,5.31875064408754,24.218389348126163,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 25 2014,2014-04-25,18.054,2.1462651840417784,2.6005055135416297,9.012424871686669,18.597966089647294,5.31875064408754,24.218389348126163,9,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 26 2014,2014-04-26,18.151,2.148319272489945,2.5443463424954995,9.001071866315527,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 27 2014,2014-04-27,19.341,2.0973234418039186,2.4616775242370923,8.981888927966374,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Apr 28 2014,2014-04-28,20.251,2.0108810469685867,2.3869770879617005,8.957843946487603,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
