date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 14 2015,2015-01-14,91.791,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 15 2015,2015-01-15,79.9,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 16 2015,2015-01-16,83.483,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 17 2015,2015-01-17,84.749,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 18 2015,2015-01-18,80.245,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 19 2015,2015-01-19,72.309,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 20 2015,2015-01-20,82.978,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 21 2015,2015-01-21,84.63,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 22 2015,2015-01-22,81.079,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 23 2015,2015-01-23,83.504,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 24 2015,2015-01-24,70.587,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 25 2015,2015-01-25,74.841,10,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 26 2015,2015-01-26,85.61,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 27 2015,2015-01-27,76.462,11,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 28 2015,2015-01-28,79.994,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 29 2015,2015-01-29,72.436,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 30 2015,2015-01-30,75.97,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 31 2015,2015-01-31,75.097,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 01 2015,2015-02-01,75.777,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
