date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 05 2014,2014-07-05,2.871,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 06 2014,2014-07-06,2.901,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 07 2014,2014-07-07,2.98,46,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 08 2014,2014-07-08,3.022,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 09 2014,2014-07-09,3.088,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 10 2014,2014-07-10,3.034,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 11 2014,2014-07-11,3.008,36,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 12 2014,2014-07-12,3.034,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 13 2014,2014-07-13,2.838,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 14 2014,2014-07-14,2.919,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 15 2014,2014-07-15,2.826,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 16 2014,2014-07-16,2.798,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 17 2014,2014-07-17,2.721,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 18 2014,2014-07-18,2.594,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 19 2014,2014-07-19,2.746,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 20 2014,2014-07-20,2.549,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 21 2014,2014-07-21,2.428,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 22 2014,2014-07-22,2.373,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 23 2014,2014-07-23,2.487,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 24 2014,2014-07-24,2.641,31,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 25 2014,2014-07-25,2.644,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 26 2014,2014-07-26,2.611,31,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 27 2014,2014-07-27,2.679,49,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 28 2014,2014-07-28,2.638,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 29 2014,2014-07-29,2.639,36,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
