date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 23 2015,2015-07-23,2.129,0.13840088781202595,1.0434611949143138,3.422467047887761,1.1409184229292675,1.3690852492278562,0.9075835597984729,2473,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 24 2015,2015-07-24,2.082,0.14432361465524965,1.0130023499863965,3.4139860078385182,1.1409184229292675,1.3690852492278562,0.9075835597984729,2367,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 25 2015,2015-07-25,2.098,0.14599526051206108,0.9828483415279596,3.405367687595979,1.1409184229292675,1.3690852492278562,0.9075835597984729,2229,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 26 2015,2015-07-26,2.092,0.14629438515017362,0.9534981454598709,3.3967751610832955,1.1409184229292675,1.3690852492278562,0.9075835597984729,2162,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 27 2015,2015-07-27,2.068,0.14641338108571259,0.9252972224124749,3.3883341323800744,1.1409184229292675,1.3690852492278562,0.9075835597984729,2395,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 28 2015,2015-07-28,2.027,0.1481956767949734,0.8985820839316847,3.3801586176440255,1.1409184229292675,1.3690852492278562,0.9075835597984729,2337,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 29 2015,2015-07-29,2.017,0.14911936513243954,0.8726044348299222,3.3720317940049482,1.1409184229292675,1.3690852492278562,0.9075835597984729,2130,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 30 2015,2015-07-30,1.966,0.1519101367756707,0.8483266308101686,3.3642319847967097,1.1409184229292675,1.3690852492278562,0.9075835597984729,2315,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 31 2015,2015-07-31,1.93,0.15474978320608207,0.825335871761137,3.356651137402586,1.1409184229292675,1.3690852492278562,0.9075835597984729,2351,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 01 2015,2015-08-01,1.909,0.15770110313838967,0.8031769132774884,3.349183592340453,1.1409184229292675,1.3690852492278562,0.9075835597984729,2359,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 02 2015,2015-08-02,1.892,0.16112923705682117,0.7817136562218997,3.341801224167659,1.1409184229292675,1.3690852492278562,0.9075835597984729,2516,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 03 2015,2015-08-03,1.887,0.16130351201550522,0.7605984966324034,3.3344242287884254,1.1409184229292675,1.3690852492278562,0.9075835597984729,2394,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 04 2015,2015-08-04,1.926,0.15907211189155582,0.7387649439624202,3.3267715825295205,1.1409184229292675,1.3690852492278562,0.9075835597984729,2314,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 05 2015,2015-08-05,1.907,0.15650015607214313,0.717774757444458,3.319226024279969,1.1409184229292675,1.3690852492278562,0.9075835597984729,2447,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 06 2015,2015-08-06,1.882,0.15604790010271588,0.6977505561818987,3.3118240452888243,1.1409184229292675,1.3690852492278562,0.9075835597984729,2254,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 07 2015,2015-08-07,1.862,0.1573181891699385,0.6785335145186848,3.30453197249045,1.1409184229292675,1.3690852492278562,0.9075835597984729,2515,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 08 2015,2015-08-08,1.831,0.1599930494180899,0.6603992887730347,3.297416949843265,1.1409184229292675,1.3690852492278562,0.9075835597984729,2348,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 09 2015,2015-08-09,1.829,0.15858715650054048,0.6424991088381096,3.290296208372522,1.1409184229292675,1.3690852492278562,0.9075835597984729,2282,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 10 2015,2015-08-10,1.87,0.15434727600196171,0.6238279247685966,3.2829136831864143,1.1409184229292675,1.3690852492278562,0.9075835597984729,2399,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 11 2015,2015-08-11,1.861,0.15179431031401833,0.6057266179938816,3.2755791818774966,1.1409184229292675,1.3690852492278562,0.9075835597984729,2471,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 12 2015,2015-08-12,1.843,0.14989745537022,0.5883856353930704,3.2683457402476863,1.1409184229292675,1.3690852492278562,0.9075835597984729,2365,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 13 2015,2015-08-13,1.83,0.14682072890709919,0.5716623262045489,3.261183011965907,1.1409184229292675,1.3690852492278562,0.9075835597984729,2395,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 14 2015,2015-08-14,1.767,0.14701500822605984,0.5568900837947109,3.2543814375887665,1.1409184229292675,1.3690852492278562,0.9075835597984729,2426,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 15 2015,2015-08-15,1.512,0.1631417689668696,0.5531352249201686,3.2491271459382514,1.1409184229292675,1.3690852492278562,0.9075835597984729,3230,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 16 2015,2015-08-16,1.55,0.1743139458682758,0.5458349832185997,3.2435788510370536,1.1409184229292675,1.3690852492278562,0.9075835597984729,2787,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 17 2015,2015-08-17,1.587,0.17924933190541043,0.5358925129188765,3.2377606034342334,1.1409184229292675,1.3690852492278562,0.9075835597984729,2711,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 18 2015,2015-08-18,1.648,0.17983051088096366,0.5231354518474279,3.2315483977249544,1.1409184229292675,1.3690852492278562,0.9075835597984729,2531,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 19 2015,2015-08-19,1.676,0.17754426030668044,0.5094383038510741,3.2251556748251944,1.1409184229292675,1.3690852492278562,0.9075835597984729,2513,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 20 2015,2015-08-20,1.623,0.17606848197465036,0.4974955417315999,3.2190497069202046,1.1409184229292675,1.3690852492278562,0.9075835597984729,2682,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 21 2015,2015-08-21,1.531,0.17626402609886646,0.4890252273771326,3.21345447411882,1.1409184229292675,1.3690852492278562,0.9075835597984729,3345,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 22 2015,2015-08-22,1.58,0.17526774591650005,0.4780475992947864,3.207546841634441,1.1409184229292675,1.3690852492278562,0.9075835597984729,3624,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 23 2015,2015-08-23,1.498,0.1793975518484729,0.47018774901529437,3.20208533036982,1.1409184229292675,1.3690852492278562,0.9075835597984729,3747,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 24 2015,2015-08-24,1.53,0.1786499466787101,0.46041341956280846,3.196411012472844,1.1409184229292675,1.3690852492278562,0.9075835597984729,3293,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 25 2015,2015-08-25,1.73,0.170107569077632,0.44564853642515334,3.1896477238653613,1.1409184229292675,1.3690852492278562,0.9075835597984729,2721,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 26 2015,2015-08-26,1.864,0.16233045974477373,0.4313812133938687,3.182239104169965,1.1409184229292675,1.3690852492278562,0.9075835597984729,2604,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 27 2015,2015-08-27,1.84,0.15593690147431225,0.4173586467383507,3.1749675818462926,1.1409184229292675,1.3690852492278562,0.9075835597984729,2529,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 28 2015,2015-08-28,1.848,0.14973251629760206,0.4038362719020136,3.1676817430079978,1.1409184229292675,1.3690852492278562,0.9075835597984729,2830,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 29 2015,2015-08-29,1.839,0.145650960514789,0.3906858562454419,3.1604616411421174,1.1409184229292675,1.3690852492278562,0.9075835597984729,2809,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 30 2015,2015-08-30,1.806,0.14246514395250984,0.37787305804519744,3.153416648398078,1.1409184229292675,1.3690852492278562,0.9075835597984729,2899,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Aug 31 2015,2015-08-31,1.786,0.13973120748371717,0.36551769391870786,3.146484397739388,1.1409184229292675,1.3690852492278562,0.9075835597984729,2615,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 01 2015,2015-09-01,1.888,0.13959732319678697,0.35412999406014545,3.1391202754835037,1.1409184229292675,1.3690852492278562,0.9075835597984729,3080,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 02 2015,2015-09-02,1.923,0.1409251900670435,0.3436600313810775,3.131639853765057,1.1409184229292675,1.3690852492278562,0.9075835597984729,2504,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 03 2015,2015-09-03,1.84,0.13818681757589674,0.33243443375907983,3.124545306851768,1.1409184229292675,1.3690852492278562,0.9075835597984729,2566,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 04 2015,2015-09-04,1.83,0.13591851852558925,0.3215426344542549,3.117520802472819,1.1409184229292675,1.3690852492278562,0.9075835597984729,2822,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 05 2015,2015-09-05,1.81,0.13413372980460356,0.31100779965321695,3.1106082485358644,1.1409184229292675,1.3690852492278562,0.9075835597984729,3392,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 06 2015,2015-09-06,1.784,0.1325895229994641,0.30093905415711514,3.103831715662606,1.1409184229292675,1.3690852492278562,0.9075835597984729,2815,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 07 2015,2015-09-07,1.781,0.1317847600769367,0.2912103464805536,3.097091015321299,1.1409184229292675,1.3690852492278562,0.9075835597984729,2457,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 08 2015,2015-09-08,1.777,0.13096036076608847,0.28181905194561657,3.090390453521959,1.1409184229292675,1.3690852492278562,0.9075835597984729,2427,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 09 2015,2015-09-09,1.772,0.1288559027681345,0.2727639664671308,3.083734148280231,1.1409184229292675,1.3690852492278562,0.9075835597984729,2048,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
